libelleCommune,canton,population,superficie,orientation,tauxAbstention,premierCandidatTour1,deuxiemeCandidatTour1,troisiemeCandidatTour1,premierCandidatTour2,pourcentage1erCandidatTour2,symbole
Abbaretz,Guéméné-Penfao,2067,"61,76",Droite,"16,28",FILLON,MACRON,MÉLENCHON,MACRON,"67,49",de la vache Nantaise
Aigrefeuille-sur-Maine,Clisson,4014,"14,58",Centre,"11,81",MACRON,MÉLENCHON,FILLON,MACRON,"76,35",du Hellfest
Ancenis,Ancenis,7656,"20,07",Centre,"17,26",MACRON,FILLON,MÉLENCHON,MACRON,"79,42",du château d'Ancenis
Chaumes-en-Retz,Pornic,6895,"76,55",Droite,"14,73",MACRON,LE PEN,FILLON,MACRON,"65,19",du voilier
Assérac,Saint-Nazaire,1847,"32,91",Centre,"16,61",MACRON,FILLON,MÉLENCHON,MACRON,"67,42",du paquebot
Avessac,Pont-Château,2458,"76,49",Droite,"14,32",FILLON,LE PEN,MÉLENCHON,MACRON,"64,79",de la vache Nantaise
Basse-Goulaine,Saint-Sébastien-sur-Loire,9136,"13,74",Centre,"11,74",MACRON,FILLON,MÉLENCHON,MACRON,"84,85",de l'éléphant
Batz-sur-Mer,La Baule-Escoublac,2824,"9,27",Droite,"18,78",FILLON,MACRON,MÉLENCHON,MACRON,"70,91",du casino Barrière
La Bernerie-en-Retz,Pornic,2834,"6,08",Centre,"14,43",MACRON,FILLON,MÉLENCHON,MACRON,"73,48",du voilier
Besné,Saint-Nazaire,3183,"17,54",Gauche,"16,42",MÉLENCHON,MACRON,LE PEN,MACRON,"62,5",du paquebot
Le Bignon,Saint-Philbert-de-Grand-Lieu,3907,"27,54",Centre,"13,84",MACRON,MÉLENCHON,FILLON,MACRON,"75,91",des vignes
Blain,Blain,9954,"101,7",Centre,"16,95",MACRON,MÉLENCHON,LE PEN,MACRON,"70,18",de la centrale à charbon
La Boissière-du-Doré,Vallet,1054,"9,41",Droite,"10,47",LE PEN,FILLON,MACRON,MACRON,"60,53",du zoo de La Boissière-du-Doré
Bonnoeuvre,Ancenis,1463,"15,66",Droite,"14,63",LE PEN,FILLON,MÉLENCHON,MACRON,"62,06",du château d'Ancenis
Bouaye,Rezé,8008,"13,83",Centre,"11,1",MACRON,MÉLENCHON,FILLON,MACRON,"81,1",de l'aéroport
Bouée,Blain,937,"21,29",Centre,"13,93",MACRON,MÉLENCHON,LE PEN,MACRON,"67,14",de la centrale à charbon
Bouguenais,Rezé,18815,"31,5",Centre,"16,55",MACRON,MÉLENCHON,LE PEN,MACRON,"78,41",de l'aéroport
Villeneuve-en-Retz,Machecoul,5050,"73,68",Droite,"17,36",LE PEN,FILLON,MACRON,MACRON,"60,2",de la forêt de Machecoul
Boussay,Clisson,2629,"26,45",Droite,"13,04",MACRON,FILLON,LE PEN,MACRON,"71,61",du Hellfest
Bouvron,Blain,3068,"47,63",Centre,"12,62",MACRON,MÉLENCHON,FILLON,MACRON,"70,27",de la centrale à charbon
Brains,Rezé,2741,"15,31",Centre,"10,39",MACRON,MÉLENCHON,FILLON,MACRON,"75,91",de l'aéroport
Campbon,Blain,3959,"49,82",Centre,"11,01",MACRON,MÉLENCHON,LE PEN,MACRON,"74,3",de la centrale à charbon
Carquefou,Carquefou,20365,"43,42",Centre,"15,82",MACRON,FILLON,MÉLENCHON,MACRON,"84,7",du stade de la Beaujoire
Casson,Nort-sur-Erdre,2183,"16,15",Centre,"14,69",MACRON,MÉLENCHON,LE PEN,MACRON,"72,86",de la Nuit de L'Erdre
Le Cellier,Nort-sur-Erdre,3974,"35,99",Centre,"14,59",MACRON,MÉLENCHON,FILLON,MACRON,"76,19",de la Nuit de L'Erdre
Divatte-sur-Loire,Vallet,6975,"33,9",Centre,"15,3",MACRON,LE PEN,MÉLENCHON,MACRON,"71,07",du zoo de La Boissière-du-Doré
La Chapelle-des-Marais,Guérande,4338,"18,05",Centre,"11,86",MACRON,MÉLENCHON,LE PEN,MACRON,"66,89",du sel de Guérande
La Chapelle-Glain,Châteaubriant,819,"34,5",Droite,"18,51",FILLON,LE PEN,MACRON,MACRON,"65,87",de la carrière des fusillés
La Chapelle-Heulin,Vallet,3266,"13,47",Centre,"14,85",MACRON,MÉLENCHON,FILLON,MACRON,"76,65",du zoo de La Boissière-du-Doré
La Chapelle-Launay,Blain,2913,"24,82",Centre,"12,7",MACRON,MÉLENCHON,LE PEN,MACRON,"72,07",de la centrale à charbon
La Chapelle-sur-Erdre,La Chapelle-sur-Erdre,19551,"33,42",Centre,"14,35",MACRON,MÉLENCHON,FILLON,MACRON,"85,3",du parc des Naudières
Châteaubriant,Châteaubriant,12031,"33,62",Centre,"20,88",MACRON,FILLON,MÉLENCHON,MACRON,"74,69",de la carrière des fusillés
Château-Thébaud,Vertou,3164,"17,64",Centre,"11,32",MACRON,FILLON,MÉLENCHON,MACRON,"74,23",des vignes
Chauvé,Pornic,2930,"40,98",Droite,"15,31",LE PEN,FILLON,MACRON,MACRON,"58,98",du voilier
Cheix-en-Retz,Machecoul,1120,"8,34",Gauche,"11,81",MÉLENCHON,MACRON,LE PEN,MACRON,"66,1",de la forêt de Machecoul
La Chevrolière,Saint-Philbert-de-Grand-Lieu,5782,"32,56",Centre,"13,46",MACRON,MÉLENCHON,LE PEN,MACRON,"71,96",des vignes
